,time_stats.all_reduce.min,time_stats.all_reduce.max,time_stats.all_reduce.mean,time_stats.all_reduce.median,time_stats.all_reduce.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
129,0.029,0.03,0.029666666666666664,0.03,0.00047140452079103045,0,8,1081344,all_reduce,8,8
130,0.032,0.034,0.03266666666666667,0.032,0.0009428090415820641,0,8,1114112,all_reduce,8,8
131,0.029,0.031,0.03,0.03,0.0008164965809277254,0,8,1146880,all_reduce,8,8
132,0.031,0.032,0.03133333333333333,0.031,0.00047140452079103207,0,8,1179648,all_reduce,8,8
133,0.031,0.031,0.031,0.031,0.0,0,8,1212416,all_reduce,8,8
134,0.032,0.036000000000000004,0.03366666666666667,0.033,0.0016996731711975963,0,8,1245184,all_reduce,8,8
135,0.032,0.032,0.032,0.032,0.0,0,8,1277952,all_reduce,8,8
136,0.032,0.033,0.03266666666666667,0.033,0.00047140452079103207,0,8,1310720,all_reduce,8,8
137,0.033,0.033,0.033,0.033,0.0,0,8,1343488,all_reduce,8,8
138,0.032,0.033,0.03233333333333333,0.032,0.00047140452079103207,0,8,1376256,all_reduce,8,8
139,0.034,0.034,0.034,0.034,0.0,0,8,1409024,all_reduce,8,8
140,0.034,0.035,0.034333333333333334,0.034,0.00047140452079103207,0,8,1441792,all_reduce,8,8
141,0.034,0.035,0.03466666666666667,0.035,0.00047140452079103207,0,8,1474560,all_reduce,8,8
142,0.037,0.037,0.037,0.037,0.0,0,8,1507328,all_reduce,8,8
143,0.035,0.035,0.035,0.035,0.0,0,8,1540096,all_reduce,8,8
144,0.035,0.036000000000000004,0.035333333333333335,0.035,0.00047140452079103207,0,8,1572864,all_reduce,8,8
145,0.033,0.034,0.03366666666666667,0.034,0.00047140452079103207,0,8,1605632,all_reduce,8,8
146,0.034,0.035,0.034333333333333334,0.034,0.00047140452079103207,0,8,1638400,all_reduce,8,8
147,0.034,0.034,0.034,0.034,0.0,0,8,1671168,all_reduce,8,8
148,0.034,0.037,0.035,0.034,0.001414213562373093,0,8,1703936,all_reduce,8,8
149,0.035,0.035,0.035,0.035,0.0,0,8,1736704,all_reduce,8,8
150,0.035,0.041,0.037666666666666675,0.037,0.0024944382578492943,0,8,1769472,all_reduce,8,8
151,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.0,0,8,1802240,all_reduce,8,8
152,0.035,0.036000000000000004,0.035333333333333335,0.035,0.00047140452079103207,0,8,1835008,all_reduce,8,8
153,0.036000000000000004,0.037,0.036333333333333336,0.036000000000000004,0.0004714045207910288,0,8,1867776,all_reduce,8,8
154,0.036000000000000004,0.037,0.036666666666666674,0.037,0.0004714045207910288,0,8,1900544,all_reduce,8,8
155,0.037,0.038,0.03733333333333333,0.037,0.00047140452079103207,0,8,1933312,all_reduce,8,8
156,0.037,0.038,0.03733333333333333,0.037,0.00047140452079103207,0,8,1966080,all_reduce,8,8
157,0.037,0.038,0.03766666666666666,0.038,0.00047140452079103207,0,8,1998848,all_reduce,8,8
158,0.038,0.038,0.038,0.038,0.0,0,8,2031616,all_reduce,8,8
159,0.038,0.038,0.038,0.038,0.0,0,8,2064384,all_reduce,8,8
160,0.038,0.04,0.039,0.039,0.0008164965809277268,0,8,2097152,all_reduce,8,8
161,0.04,0.042,0.04066666666666666,0.04,0.0009428090415820641,0,8,2129920,all_reduce,8,8
162,0.041,0.041,0.041,0.041,0.0,0,8,2162688,all_reduce,8,8
163,0.042,0.042,0.042,0.042,0.0,0,8,2195456,all_reduce,8,8
164,0.042,0.042,0.042,0.042,0.0,0,8,2228224,all_reduce,8,8
165,0.042,0.042,0.042,0.042,0.0,0,8,2260992,all_reduce,8,8
166,0.042,0.043000000000000003,0.042666666666666665,0.043000000000000003,0.00047140452079103207,0,8,2293760,all_reduce,8,8
167,0.042,0.043000000000000003,0.042333333333333334,0.042,0.00047140452079103207,0,8,2326528,all_reduce,8,8
168,0.042,0.044,0.043000000000000003,0.043000000000000003,0.0008164965809277239,0,8,2359296,all_reduce,8,8
169,0.043000000000000003,0.044,0.043333333333333335,0.043000000000000003,0.0004714045207910288,0,8,2392064,all_reduce,8,8
170,0.043000000000000003,0.044,0.043666666666666666,0.044,0.0004714045207910288,0,8,2424832,all_reduce,8,8
171,0.043000000000000003,0.045,0.044333333333333336,0.045,0.000942809041582061,0,8,2457600,all_reduce,8,8
172,0.044,0.045,0.044333333333333336,0.044,0.00047140452079103207,0,8,2490368,all_reduce,8,8
173,0.044,0.044,0.044000000000000004,0.044,6.938893903907228e-18,0,8,2523136,all_reduce,8,8
174,0.044,0.045,0.044333333333333336,0.044,0.00047140452079103207,0,8,2555904,all_reduce,8,8
175,0.045,0.045,0.045000000000000005,0.045,6.938893903907228e-18,0,8,2588672,all_reduce,8,8
176,0.045,0.046,0.04533333333333334,0.045,0.00047140452079103207,0,8,2621440,all_reduce,8,8
177,0.044,0.044,0.044000000000000004,0.044,6.938893903907228e-18,0,8,2654208,all_reduce,8,8
178,0.044,0.045,0.044333333333333336,0.044,0.00047140452079103207,0,8,2686976,all_reduce,8,8
179,0.044,0.045,0.04466666666666667,0.045,0.00047140452079103207,0,8,2719744,all_reduce,8,8
180,0.044,0.045,0.04466666666666667,0.045,0.00047140452079103207,0,8,2752512,all_reduce,8,8
