time_stats.emb.min,time_stats.emb.max,time_stats.emb.mean,time_stats.emb.median,time_stats.emb.std,time_stats.input_layernorm.min,time_stats.input_layernorm.max,time_stats.input_layernorm.mean,time_stats.input_layernorm.median,time_stats.input_layernorm.std,time_stats.attn_pre_proj.min,time_stats.attn_pre_proj.max,time_stats.attn_pre_proj.mean,time_stats.attn_pre_proj.median,time_stats.attn_pre_proj.std,time_stats.attn_rope.min,time_stats.attn_rope.max,time_stats.attn_rope.mean,time_stats.attn_rope.median,time_stats.attn_rope.std,time_stats.attn_post_proj.min,time_stats.attn_post_proj.max,time_stats.attn_post_proj.mean,time_stats.attn_post_proj.median,time_stats.attn_post_proj.std,time_stats.post_attention_layernorm.min,time_stats.post_attention_layernorm.max,time_stats.post_attention_layernorm.mean,time_stats.post_attention_layernorm.median,time_stats.post_attention_layernorm.std,time_stats.moe_gate.min,time_stats.moe_gate.max,time_stats.moe_gate.mean,time_stats.moe_gate.median,time_stats.moe_gate.std,time_stats.moe_linear.min,time_stats.moe_linear.max,time_stats.moe_linear.mean,time_stats.moe_linear.median,time_stats.moe_linear.std,time_stats.add.min,time_stats.add.max,time_stats.add.mean,time_stats.add.median,time_stats.add.std,n_head,n_kv_head,n_embd,n_expanded_embd,vocab_size,num_experts,top_k,num_tokens,num_tensor_parallel_workers
0.094,0.1,0.09861904761904763,0.099,0.0012140522651411403,0.042,0.043000000000000003,0.04235000000000001,0.042,0.00047696960070847325,0.225,0.298,0.22929999999999998,0.226,0.015773712308774997,0.013000000000000001,0.014,0.013900000000000004,0.014,0.00029999999999999976,0.151,0.153,0.15189999999999998,0.152,0.0007000000000000006,0.048,0.049,0.04825000000000001,0.048,0.0004330127018922198,0.024,0.025,0.024050000000000005,0.024,0.00021794494717703388,0.222,0.226,0.2233,0.223,0.0011874342087037928,0.017,0.017,0.017000000000000005,0.017,3.469446951953614e-18,64,4,4096,1536,151936,128,8,2272,4
0.094,0.098,0.09671428571428574,0.097,0.0008247860988423233,0.042,0.042,0.04200000000000001,0.042,6.938893903907228e-18,0.227,0.301,0.23195000000000002,0.229,0.01586340127463212,0.013000000000000001,0.014,0.013050000000000003,0.013000000000000001,0.00021794494717703353,0.153,0.155,0.15419999999999998,0.154,0.0006000000000000005,0.048,0.049,0.04805000000000001,0.048,0.00021794494717703385,0.024,0.025,0.024050000000000005,0.024,0.00021794494717703388,0.212,0.216,0.21389999999999998,0.214,0.0011789826122551605,0.016,0.017,0.016100000000000003,0.016,0.00030000000000000024,64,4,4096,1536,151936,128,8,2240,4
0.092,0.096,0.09514285714285715,0.095,0.0008883218145798878,0.041,0.042,0.04135000000000001,0.041,0.0004769696007084732,0.227,0.299,0.23120000000000002,0.228,0.01556470365924131,0.013000000000000001,0.013000000000000001,0.013000000000000003,0.013000000000000001,1.734723475976807e-18,0.153,0.154,0.15360000000000001,0.154,0.000489897948556636,0.046,0.047,0.04690000000000001,0.047,0.00030000000000000024,0.024,0.024,0.024000000000000004,0.024,3.469446951953614e-18,0.212,0.217,0.21355000000000005,0.2135,0.0012031209415515976,0.016,0.017,0.016150000000000005,0.016,0.00035707142142714284,64,4,4096,1536,151936,128,8,2208,4
0.089,0.096,0.09385714285714286,0.094,0.001319657758147717,0.04,0.041,0.04020000000000001,0.04,0.0004000000000000003,0.161,0.234,0.19065000000000001,0.163,0.0348902206929105,0.013000000000000001,0.013000000000000001,0.013000000000000003,0.013000000000000001,1.734723475976807e-18,0.134,0.136,0.13555,0.136,0.0005894913061275802,0.045,0.045,0.045000000000000005,0.045,6.938893903907228e-18,0.024,0.024,0.024000000000000004,0.024,3.469446951953614e-18,0.195,0.201,0.199,0.199,0.001483239697419134,0.016,0.017,0.016100000000000003,0.016,0.00030000000000000024,64,4,4096,1536,151936,128,8,2176,4
0.089,0.095,0.0930952380952381,0.093,0.001191428190780649,0.04,0.04,0.04000000000000001,0.04,6.938893903907228e-18,0.227,0.301,0.25664999999999993,0.228,0.03560516114273322,0.013000000000000001,0.013000000000000001,0.013000000000000003,0.013000000000000001,1.734723475976807e-18,0.134,0.136,0.13515000000000002,0.135,0.000726291952316698,0.044,0.045,0.04410000000000001,0.044,0.0003000000000000003,0.024,0.024,0.024000000000000004,0.024,3.469446951953614e-18,0.20700000000000002,0.21,0.20815,0.20800000000000002,0.0009096702699330026,0.015,0.016,0.015900000000000004,0.016,0.0003000000000000003,64,4,4096,1536,151936,128,8,2144,4
0.088,0.093,0.09166666666666667,0.092,0.0009428090415820643,0.039,0.04,0.039700000000000006,0.04,0.0004582575694955844,0.226,0.3,0.23079999999999998,0.227,0.01590157224930918,0.012,0.013000000000000001,0.012900000000000003,0.013000000000000001,0.00030000000000000024,0.134,0.136,0.1353,0.135,0.0007141428428542857,0.043000000000000003,0.044,0.04345,0.043000000000000003,0.000497493718553307,0.024,0.025,0.024150000000000005,0.024,0.00035707142142714284,0.199,0.202,0.20065,0.2005,0.0008529361054615998,0.015,0.016,0.015150000000000002,0.015,0.0003570714214271428,64,4,4096,1536,151936,128,8,2112,4
0.084,0.091,0.0891904761904762,0.089,0.001366923818514982,0.039,0.039,0.03900000000000001,0.039,6.938893903907228e-18,0.227,0.229,0.22774999999999998,0.228,0.0006224949798994372,0.012,0.013000000000000001,0.012550000000000002,0.013000000000000001,0.0004974937185533104,0.135,0.136,0.1355,0.1355,0.0005000000000000004,0.041,0.042,0.04155000000000001,0.042,0.0004974937185533104,0.024,0.025,0.024100000000000003,0.024,0.00030000000000000024,0.201,0.20700000000000002,0.2024,0.202,0.0014282856857085711,0.015,0.016,0.015200000000000002,0.015,0.00040000000000000034,64,4,4096,1536,151936,128,8,2080,4
0.083,0.09,0.0881904761904762,0.088,0.0012953781436890884,0.038,0.039,0.03835000000000001,0.038,0.0004769696007084732,0.152,0.153,0.15235,0.152,0.0004769696007084733,0.012,0.013000000000000001,0.012100000000000003,0.012,0.00030000000000000024,0.133,0.135,0.1343,0.134,0.0005567764362830027,0.04,0.041,0.04010000000000001,0.04,0.0003000000000000003,0.024,0.024,0.024000000000000004,0.024,3.469446951953614e-18,0.188,0.192,0.19060000000000002,0.191,0.0009695359714832667,0.015,0.016,0.015100000000000002,0.015,0.00030000000000000024,64,4,4096,1536,151936,128,8,2048,4
0.085,0.092,0.08942857142857144,0.09,0.0012177820811947056,0.038,0.039,0.038500000000000006,0.0385,0.0005000000000000006,0.152,0.153,0.15250000000000002,0.1525,0.0005000000000000006,0.012,0.013000000000000001,0.012100000000000003,0.012,0.00030000000000000024,0.133,0.135,0.1342,0.134,0.0006782329983125274,0.04,0.041,0.040900000000000006,0.041,0.0003000000000000003,0.024,0.024,0.024000000000000004,0.024,3.469446951953614e-18,0.19,0.194,0.19160000000000002,0.192,0.0011135528725660054,0.015,0.016,0.015100000000000002,0.015,0.00030000000000000024,64,4,4096,1536,151936,128,8,2048,4
0.083,0.089,0.08780952380952381,0.088,0.0012196427118919683,0.038,0.039,0.03805000000000001,0.038,0.00021794494717703385,0.154,0.155,0.15419999999999998,0.154,0.00040000000000000034,0.012,0.013000000000000001,0.012100000000000003,0.012,0.00030000000000000024,0.135,0.137,0.13570000000000002,0.136,0.0006403124237432856,0.04,0.041,0.040150000000000005,0.04,0.00035707142142714284,0.024,0.024,0.024000000000000004,0.024,3.469446951953614e-18,0.201,0.20500000000000002,0.20390000000000003,0.20400000000000001,0.0010908712114635723,0.015,0.016,0.015050000000000003,0.015,0.00021794494717703388,64,4,4096,1536,151936,128,8,2032,4
